Authority,Event type,Age group,Period,Count
E06000022,Digital,All ages,2023-10-01/P1M,8
E06000022,Digital,All ages,2023-11-01/P1M,7
E06000022,Digital,All ages,2023-12-01/P1M,4
E06000022,Digital,All ages,2024-01-01/P1M,7
E06000022,Digital,All ages,2024-02-01/P1M,8
E06000022,Digital,All ages,2024-03-01/P1M,7
E06000022,Digital,Adults,2023-04-01/P1M,9
E06000022,Digital,Adults,2023-05-01/P1M,7
E06000022,Digital,Adults,2023-06-01/P1M,9
E06000022,Digital,Adults,2023-07-01/P1M,9
E06000022,Digital,Adults,2023-08-01/P1M,7
E06000022,Digital,Adults,2023-09-01/P1M,8
E06000022,Digital,Adults,2023-10-01/P1M,8
E06000022,Digital,Adults,2023-11-01/P1M,7
E06000022,Digital,Adults,2023-12-01/P1M,4
E06000022,Digital,Adults,2024-01-01/P1M,7
E06000022,Digital,Adults,2024-02-01/P1M,8
E06000022,Digital,Adults,2024-03-01/P1M,7
E06000008,Physical,All ages,2023-04-01/P1M,978
E06000008,Physical,All ages,2023-05-01/P1M,1015
E06000008,Physical,All ages,2023-06-01/P1M,847
E06000008,Physical,All ages,2023-07-01/P1M,825
E06000008,Physical,All ages,2023-08-01/P1M,994
E06000008,Physical,All ages,2023-09-01/P1M,568
E06000008,Physical,All ages,2023-10-01/P1M,3854
E06000008,Physical,All ages,2023-11-01/P1M,1133
E06000008,Physical,All ages,2023-12-01/P1M,2876
E06000008,Physical,All ages,2024-01-01/P1M,1162
E06000008,Physical,All ages,2024-02-01/P1M,2375
E06000008,Physical,All ages,2024-03-01/P1M,2772
E06000008,Physical,Adults,2023-04-01/P1M,197
E06000008,Physical,Adults,2023-05-01/P1M,268
E06000008,Physical,Adults,2023-06-01/P1M,277
E06000008,Physical,Adults,2023-07-01/P1M,236
E06000008,Physical,Adults,2023-08-01/P1M,373
E06000008,Physical,Adults,2023-09-01/P1M,324
E06000008,Physical,Adults,2023-10-01/P1M,311
E06000008,Physical,Adults,2023-11-01/P1M,462
E06000008,Physical,Adults,2023-12-01/P1M,279
E06000008,Physical,Adults,2024-01-01/P1M,464
E06000008,Physical,Adults,2024-02-01/P1M,667
E06000008,Physical,Adults,2024-03-01/P1M,490
E06000008,Physical,Under 12,2023-04-01/P1M,781
E06000008,Physical,Under 12,2023-05-01/P1M,747
E06000008,Physical,Under 12,2023-06-01/P1M,570
E06000008,Physical,Under 12,2023-07-01/P1M,589
E06000008,Physical,Under 12,2023-08-01/P1M,608
E06000008,Physical,Under 12,2023-09-01/P1M,244
E06000008,Physical,Under 12,2023-10-01/P1M,3528
E06000008,Physical,Under 12,2023-11-01/P1M,671
E06000008,Physical,Under 12,2023-12-01/P1M,2541
E06000008,Physical,Under 12,2024-01-01/P1M,483
E06000008,Physical,Under 12,2024-02-01/P1M,1681
E06000008,Physical,Under 12,2024-03-01/P1M,892
E06000008,Physical,12-17,2023-08-01/P1M,13
E06000008,Physical,12-17,2023-10-01/P1M,15
E06000008,Physical,12-17,2023-12-01/P1M,56
E06000008,Physical,12-17,2024-01-01/P1M,215
E06000008,Physical,12-17,2024-02-01/P1M,27
E06000008,Physical,12-17,2024-03-01/P1M,1390
E06000008,Digital,All ages,2024-03-01/P1M,1362
E06000008,Digital,12-17,2024-03-01/P1M,1362
E06000009,Physical,All ages,2023-04-01/P1M,1631
E06000009,Physical,All ages,2023-05-01/P1M,1655
E06000009,Physical,All ages,2023-06-01/P1M,2362
E06000009,Physical,All ages,2023-07-01/P1M,1865
E06000009,Physical,All ages,2023-08-01/P1M,1604
E06000009,Physical,All ages,2023-09-01/P1M,1597
E06000009,Physical,All ages,2023-10-01/P1M,2979
E06000009,Physical,All ages,2023-11-01/P1M,3640
E06000009,Physical,All ages,2023-12-01/P1M,1664
E06000009,Physical,All ages,2024-01-01/P1M,2057
E06000009,Physical,All ages,2024-02-01/P1M,2924
E06000009,Physical,All ages,2024-03-01/P1M,2641
E06000009,Digital,All ages,2023-04-01/P1M,71
E06000009,Digital,All ages,2023-05-01/P1M,71
E06000009,Digital,All ages,2023-06-01/P1M,71
E06000009,Digital,All ages,2023-07-01/P1M,71
E06000009,Digital,All ages,2023-08-01/P1M,71
E06000009,Digital,All ages,2023-09-01/P1M,71
E06000009,Digital,All ages,2023-10-01/P1M,71
E06000009,Digital,All ages,2023-11-01/P1M,71
E06000009,Digital,All ages,2023-12-01/P1M,71
E06000009,Digital,All ages,2024-01-01/P1M,71
E06000009,Digital,All ages,2024-02-01/P1M,71
E06000009,Digital,All ages,2024-03-01/P1M,71
E08000001,Physical,All ages,2023-04-01/P1M,3757
E08000001,Physical,All ages,2023-05-01/P1M,4045
E08000001,Physical,All ages,2023-06-01/P1M,4371
E08000001,Physical,All ages,2023-07-01/P1M,4045
E08000001,Physical,All ages,2023-08-01/P1M,3755
E08000001,Physical,All ages,2023-09-01/P1M,3262
E08000001,Physical,All ages,2023-10-01/P1M,4846
E08000001,Physical,All ages,2023-11-01/P1M,4844
E08000001,Physical,All ages,2023-12-01/P1M,3928
E08000001,Physical,All ages,2024-01-01/P1M,4849
E08000001,Physical,All ages,2024-02-01/P1M,6643
E08000001,Physical,All ages,2024-03-01/P1M,7457
E08000001,Physical,Adults,2023-04-01/P1M,1502
E08000001,Physical,Adults,2023-05-01/P1M,1577
E08000001,Physical,Adults,2023-06-01/P1M,1738
E08000001,Physical,Adults,2023-07-01/P1M,1927
E08000001,Physical,Adults,2023-08-01/P1M,1622
E08000001,Physical,Adults,2023-09-01/P1M,1685
E08000001,Physical,Adults,2023-10-01/P1M,1932
E08000001,Physical,Adults,2023-11-01/P1M,2180
E08000001,Physical,Adults,2023-12-01/P1M,1803
E08000001,Physical,Adults,2024-01-01/P1M,2048
E08000001,Physical,Adults,2024-02-01/P1M,3031
E08000001,Physical,Adults,2024-03-01/P1M,2027
E08000001,Physical,Under 12,2023-04-01/P1M,2255
E08000001,Physical,Under 12,2023-05-01/P1M,2468
E08000001,Physical,Under 12,2023-06-01/P1M,2633
E08000001,Physical,Under 12,2023-07-01/P1M,2118
E08000001,Physical,Under 12,2023-08-01/P1M,2133
E08000001,Physical,Under 12,2023-09-01/P1M,1577
E08000001,Physical,Under 12,2023-10-01/P1M,2914
E08000001,Physical,Under 12,2023-11-01/P1M,2664
E08000001,Physical,Under 12,2023-12-01/P1M,2125
E08000001,Physical,Under 12,2024-01-01/P1M,2801
E08000001,Physical,Under 12,2024-02-01/P1M,3612
E08000001,Physical,Under 12,2024-03-01/P1M,5430
E06000058,Physical,All ages,2023-04-01/P1M,10144
E06000058,Physical,All ages,2023-05-01/P1M,10770
E06000058,Physical,All ages,2023-06-01/P1M,10418
E06000058,Physical,All ages,2023-07-01/P1M,11477
E06000058,Physical,All ages,2023-08-01/P1M,12160
E06000058,Physical,All ages,2023-09-01/P1M,10449
E06000058,Physical,All ages,2023-10-01/P1M,12621
E06000058,Physical,All ages,2023-11-01/P1M,10951
E06000058,Physical,All ages,2023-12-01/P1M,9004
E06000058,Physical,All ages,2024-01-01/P1M,10273
E06000058,Physical,All ages,2024-02-01/P1M,11953
E06000058,Physical,All ages,2024-03-01/P1M,11475
E06000058,Physical,Adults,2023-04-01/P1M,4993
E06000058,Physical,Adults,2023-05-01/P1M,6254
E06000058,Physical,Adults,2023-06-01/P1M,4849
E06000058,Physical,Adults,2023-07-01/P1M,5079
E06000058,Physical,Adults,2023-08-01/P1M,5099
E06000058,Physical,Adults,2023-09-01/P1M,5529
E06000058,Physical,Adults,2023-10-01/P1M,6061
E06000058,Physical,Adults,2023-11-01/P1M,5740
E06000058,Physical,Adults,2023-12-01/P1M,4522
E06000058,Physical,Adults,2024-01-01/P1M,5278
E06000058,Physical,Adults,2024-02-01/P1M,5950
E06000058,Physical,Adults,2024-03-01/P1M,5728
E06000058,Physical,Under 12,2023-04-01/P1M,5122
E06000058,Physical,Under 12,2023-05-01/P1M,4508
E06000058,Physical,Under 12,2023-06-01/P1M,5405
E06000058,Physical,Under 12,2023-07-01/P1M,6366
E06000058,Physical,Under 12,2023-08-01/P1M,6782
E06000058,Physical,Under 12,2023-09-01/P1M,4854
E06000058,Physical,Under 12,2023-10-01/P1M,6535
E06000058,Physical,Under 12,2023-11-01/P1M,5203
E06000058,Physical,Under 12,2023-12-01/P1M,4348
E06000058,Physical,Under 12,2024-01-01/P1M,4962
E06000058,Physical,Under 12,2024-02-01/P1M,5976
E06000058,Physical,Under 12,2024-03-01/P1M,5734
E06000058,Physical,12-17,2023-04-01/P1M,29
E06000058,Physical,12-17,2023-05-01/P1M,8
E06000058,Physical,12-17,2023-06-01/P1M,164
E06000058,Physical,12-17,2023-07-01/P1M,32
E06000058,Physical,12-17,2023-08-01/P1M,279
E06000058,Physical,12-17,2023-09-01/P1M,66
E06000058,Physical,12-17,2023-10-01/P1M,25
E06000058,Physical,12-17,2023-11-01/P1M,8
E06000058,Physical,12-17,2023-12-01/P1M,134
E06000058,Physical,12-17,2024-01-01/P1M,33
E06000058,Physical,12-17,2024-02-01/P1M,27
E06000058,Physical,12-17,2024-03-01/P1M,13
E08000032,Physical,All ages,2023-04-01/P1M,5126
E08000032,Physical,All ages,2023-05-01/P1M,5330
E08000032,Physical,All ages,2023-06-01/P1M,5436
E08000032,Physical,All ages,2023-07-01/P1M,7060
E08000032,Physical,All ages,2023-08-01/P1M,7768
E08000032,Physical,All ages,2023-09-01/P1M,4718
E08000032,Physical,All ages,2023-10-01/P1M,8238
E08000032,Physical,All ages,2023-11-01/P1M,7289
E08000032,Physical,All ages,2023-12-01/P1M,4504
E08000032,Physical,All ages,2024-01-01/P1M,5953
E08000032,Physical,All ages,2024-02-01/P1M,7777
E08000032,Physical,All ages,2024-03-01/P1M,8767
E08000032,Physical,Adults,2023-04-01/P1M,3232
E08000032,Physical,Adults,2023-05-01/P1M,3224
E08000032,Physical,Adults,2023-06-01/P1M,3484
E08000032,Physical,Adults,2023-07-01/P1M,4118
E08000032,Physical,Adults,2023-08-01/P1M,4270
E08000032,Physical,Adults,2023-09-01/P1M,3021
E08000032,Physical,Adults,2023-10-01/P1M,4791
E08000032,Physical,Adults,2023-11-01/P1M,4294
E08000032,Physical,Adults,2023-12-01/P1M,2665
E08000032,Physical,Adults,2024-01-01/P1M,3351
E08000032,Physical,Adults,2024-02-01/P1M,4166
E08000032,Physical,Adults,2024-03-01/P1M,4434
E09000005,Physical,All ages,2023-04-01/P1M,1830
E09000005,Physical,All ages,2023-05-01/P1M,2419
E09000005,Physical,All ages,2023-06-01/P1M,3280
E09000005,Physical,All ages,2023-07-01/P1M,5164
E09000005,Physical,All ages,2023-08-01/P1M,2998
E09000005,Physical,All ages,2023-09-01/P1M,2210
E09000005,Physical,All ages,2023-10-01/P1M,4162
E09000005,Physical,All ages,2023-11-01/P1M,3174
E09000005,Physical,All ages,2023-12-01/P1M,1553
E09000005,Physical,All ages,2024-01-01/P1M,2289
E09000005,Physical,All ages,2024-02-01/P1M,2101
E09000005,Physical,All ages,2024-03-01/P1M,1965
E09000005,Physical,Adults,2023-04-01/P1M,815
E09000005,Physical,Adults,2023-05-01/P1M,1355
E09000005,Physical,Adults,2023-06-01/P1M,1473
E09000005,Physical,Adults,2023-07-01/P1M,1718
E09000005,Physical,Adults,2023-08-01/P1M,1283
E09000005,Physical,Adults,2023-09-01/P1M,1107
E09000005,Physical,Adults,2023-10-01/P1M,1974
E09000005,Physical,Adults,2023-11-01/P1M,1599
E09000005,Physical,Adults,2023-12-01/P1M,727
E09000005,Physical,Adults,2024-01-01/P1M,1292
E09000005,Physical,Adults,2024-02-01/P1M,1182
E09000005,Physical,Adults,2024-03-01/P1M,1080
E09000005,Physical,Under 12,2023-04-01/P1M,1015
E09000005,Physical,Under 12,2023-05-01/P1M,1064
E09000005,Physical,Under 12,2023-06-01/P1M,1807
E09000005,Physical,Under 12,2023-07-01/P1M,3446
E09000005,Physical,Under 12,2023-08-01/P1M,1715
E09000005,Physical,Under 12,2023-09-01/P1M,1103
E09000005,Physical,Under 12,2023-10-01/P1M,2188
E09000005,Physical,Under 12,2023-11-01/P1M,1575
E09000005,Physical,Under 12,2023-12-01/P1M,826
E09000005,Physical,Under 12,2024-01-01/P1M,997
E09000005,Physical,Under 12,2024-02-01/P1M,919
E09000005,Physical,Under 12,2024-03-01/P1M,885
E06000023,Physical,All ages,2023-06-01/P3M,11513
E06000023,Physical,All ages,2023-09-01/P3M,11064
E06000023,Physical,All ages,2023-12-01/P3M,15517
E06000023,Physical,All ages,2024-03-01/P3M,15568
E06000023,Physical,Adults,2023-06-01/P3M,1693
E06000023,Physical,Adults,2023-09-01/P3M,1987
E06000023,Physical,Adults,2023-12-01/P3M,2847
E06000023,Physical,Adults,2024-03-01/P3M,2026
E06000023,Physical,Under 12,2023-06-01/P3M,9043
E06000023,Physical,Under 12,2023-09-01/P3M,8382
E06000023,Physical,Under 12,2023-12-01/P3M,11178
E06000023,Physical,Under 12,2024-03-01/P3M,12822
E06000023,Physical,12-17,2023-06-01/P3M,132
E06000023,Physical,12-17,2023-09-01/P3M,96
E06000023,Physical,12-17,2023-12-01/P3M,167
E06000023,Physical,12-17,2024-03-01/P3M,321
E06000023,Digital,All ages,2023-06-01/P3M,58
E06000023,Digital,All ages,2023-09-01/P3M,20
E06000023,Digital,All ages,2023-12-01/P3M,32
E06000023,Digital,All ages,2024-03-01/P3M,7
E06000023,Digital,Adults,2023-06-01/P3M,58
E06000023,Digital,Adults,2023-09-01/P3M,20
E06000023,Digital,Adults,2023-12-01/P3M,32
E06000023,Digital,Adults,2024-03-01/P3M,7
E09000006,Physical,All ages,2023-04-01/P1M,8069
E09000006,Physical,All ages,2023-05-01/P1M,6619
E09000006,Physical,All ages,2023-06-01/P1M,6322
E09000006,Physical,All ages,2023-07-01/P1M,10872
E09000006,Physical,All ages,2023-08-01/P1M,4517
E09000006,Physical,All ages,2023-09-01/P1M,5975
E09000006,Physical,All ages,2023-10-01/P1M,6656
E09000006,Physical,All ages,2023-11-01/P1M,6250
E09000006,Physical,All ages,2023-12-01/P1M,4737
E09000006,Physical,All ages,2024-01-01/P1M,7447
E09000006,Physical,All ages,2024-02-01/P1M,5963
E09000006,Physical,All ages,2024-03-01/P1M,6694
E09000006,Physical,Adults,2023-04-01/P1M,3754
E09000006,Physical,Adults,2023-05-01/P1M,751
E09000006,Physical,Adults,2023-06-01/P1M,650
E09000006,Physical,Adults,2023-07-01/P1M,680
E09000006,Physical,Adults,2023-08-01/P1M,680
E09000006,Physical,Adults,2023-09-01/P1M,774
E09000006,Physical,Adults,2023-10-01/P1M,740
E09000006,Physical,Adults,2023-11-01/P1M,825
E09000006,Physical,Adults,2023-12-01/P1M,736
E09000006,Physical,Adults,2024-01-01/P1M,832
E09000006,Physical,Adults,2024-02-01/P1M,759
E09000006,Physical,Adults,2024-03-01/P1M,733
E09000006,Physical,Under 12,2023-04-01/P1M,4315
E09000006,Physical,Under 12,2023-05-01/P1M,5868
E09000006,Physical,Under 12,2023-06-01/P1M,5672
E09000006,Physical,Under 12,2023-07-01/P1M,10192
E09000006,Physical,Under 12,2023-08-01/P1M,3837
E09000006,Physical,Under 12,2023-09-01/P1M,5201
E09000006,Physical,Under 12,2023-10-01/P1M,5916
E09000006,Physical,Under 12,2023-11-01/P1M,5425
E09000006,Physical,Under 12,2023-12-01/P1M,4001
E09000006,Physical,Under 12,2024-01-01/P1M,6615
E09000006,Physical,Under 12,2024-02-01/P1M,5204
E09000006,Physical,Under 12,2024-03-01/P1M,5961
E06000060,Physical,All ages,2023-04-01/P1M,1683
E06000060,Physical,All ages,2023-05-01/P1M,1231
E06000060,Physical,All ages,2023-06-01/P1M,1581
E06000060,Physical,All ages,2023-07-01/P1M,1473
E06000060,Physical,All ages,2023-08-01/P1M,1341
E06000060,Physical,All ages,2023-09-01/P1M,1555
E06000060,Physical,All ages,2023-10-01/P1M,1852
E06000060,Physical,All ages,2023-11-01/P1M,1676
E06000060,Physical,All ages,2023-12-01/P1M,1443
E06000060,Physical,All ages,2024-01-01/P1M,2180
E06000060,Physical,All ages,2024-02-01/P1M,2823
E06000060,Physical,All ages,2024-03-01/P1M,2604
E06000060,Digital,All ages,2024-03-01/P1M,3300
E08000002,Physical,All ages,2023-04-01/P1M,1804
E08000002,Physical,All ages,2023-05-01/P1M,2435
E08000002,Physical,All ages,2023-06-01/P1M,2072
E08000002,Physical,All ages,2023-07-01/P1M,1724
E08000002,Physical,All ages,2023-08-01/P1M,1623
E08000002,Physical,All ages,2023-09-01/P1M,2106
E08000002,Physical,All ages,2023-10-01/P1M,2129
E08000002,Physical,All ages,2023-11-01/P1M,2666
E08000002,Physical,All ages,2023-12-01/P1M,1712
E08000002,Physical,All ages,2024-01-01/P1M,2063
E08000002,Physical,All ages,2024-02-01/P1M,2344
E08000002,Physical,All ages,2024-03-01/P1M,2281
E08000002,Physical,Adults,2023-04-01/P1M,567
E08000002,Physical,Adults,2023-05-01/P1M,575
E08000002,Physical,Adults,2023-06-01/P1M,444
E08000002,Physical,Adults,2023-07-01/P1M,450
E08000002,Physical,Adults,2023-08-01/P1M,563
E08000002,Physical,Adults,2023-09-01/P1M,666
E08000002,Physical,Adults,2023-10-01/P1M,715
E08000002,Physical,Adults,2023-11-01/P1M,710
E08000002,Physical,Adults,2023-12-01/P1M,516
E08000002,Physical,Adults,2024-01-01/P1M,775
E08000002,Physical,Adults,2024-02-01/P1M,998
E08000002,Physical,Adults,2024-03-01/P1M,851
E08000002,Physical,Under 12,2023-04-01/P1M,817
E08000002,Physical,Under 12,2023-05-01/P1M,1311
E08000002,Physical,Under 12,2023-06-01/P1M,1208
E08000002,Physical,Under 12,2023-07-01/P1M,1010
E08000002,Physical,Under 12,2023-08-01/P1M,613
E08000002,Physical,Under 12,2023-09-01/P1M,823
E08000002,Physical,Under 12,2023-10-01/P1M,838
E08000002,Physical,Under 12,2023-11-01/P1M,890
E08000002,Physical,Under 12,2023-12-01/P1M,710
E08000002,Physical,Under 12,2024-01-01/P1M,834
E08000002,Physical,Under 12,2024-02-01/P1M,861
E08000002,Physical,Under 12,2024-03-01/P1M,935
E10000003,Physical,All ages,2023-04-01/P1M,84090
E10000003,Physical,All ages,2023-05-01/P1M,7418
E10000003,Physical,All ages,2023-06-01/P1M,10123
E10000003,Physical,All ages,2023-07-01/P1M,16654
E10000003,Physical,All ages,2023-08-01/P1M,7677
E10000003,Physical,All ages,2023-09-01/P1M,104471
E10000003,Physical,All ages,2023-10-01/P1M,8173
E10000003,Physical,All ages,2023-11-01/P1M,8183
E10000003,Physical,All ages,2023-12-01/P1M,9820
E10000003,Physical,All ages,2024-01-01/P1M,8767
E10000003,Physical,All ages,2024-02-01/P1M,11905
E10000003,Physical,All ages,2024-03-01/P1M,10479
E10000003,Digital,All ages,2023-04-01/P1M,12
E10000003,Digital,All ages,2023-05-01/P1M,35
E10000003,Digital,All ages,2023-06-01/P1M,25
E10000003,Digital,All ages,2023-10-01/P1M,11
E10000003,Digital,All ages,2024-01-01/P1M,10
E06000056,Physical,All ages,2023-04-01/P1M,10575
E06000056,Physical,All ages,2023-05-01/P1M,7052
E06000056,Physical,All ages,2023-06-01/P1M,6689
E06000056,Physical,All ages,2023-07-01/P1M,10762
E06000056,Physical,All ages,2023-08-01/P1M,13997
E06000056,Physical,All ages,2023-09-01/P1M,6328
E06000056,Physical,All ages,2023-10-01/P1M,10821
E06000056,Physical,All ages,2023-11-01/P1M,6627
E06000056,Physical,All ages,2023-12-01/P1M,6782
E06000056,Physical,All ages,2024-01-01/P1M,7510
E06000056,Physical,All ages,2024-02-01/P1M,9536
E06000056,Physical,All ages,2024-03-01/P1M,9179
E06000056,Physical,Adults,2023-04-01/P1M,4153
E06000056,Physical,Adults,2023-05-01/P1M,3090
E06000056,Physical,Adults,2023-06-01/P1M,2720
E06000056,Physical,Adults,2023-07-01/P1M,5329
E06000056,Physical,Adults,2023-08-01/P1M,5735
E06000056,Physical,Adults,2023-09-01/P1M,2681
E06000056,Physical,Adults,2023-10-01/P1M,4381
E06000056,Physical,Adults,2023-11-01/P1M,3154
E06000056,Physical,Adults,2023-12-01/P1M,3088
E06000056,Physical,Adults,2024-01-01/P1M,3192
E06000056,Physical,Adults,2024-02-01/P1M,4331
E06000056,Physical,Adults,2024-03-01/P1M,4027
E06000056,Physical,Under 12,2023-04-01/P1M,6422
E06000056,Physical,Under 12,2023-05-01/P1M,3962
E06000056,Physical,Under 12,2023-06-01/P1M,3969
E06000056,Physical,Under 12,2023-07-01/P1M,5433
E06000056,Physical,Under 12,2023-08-01/P1M,8262
E06000056,Physical,Under 12,2023-09-01/P1M,3647
E06000056,Physical,Under 12,2023-10-01/P1M,6440
E06000056,Physical,Under 12,2023-11-01/P1M,3473
E06000056,Physical,Under 12,2023-12-01/P1M,3694
E06000056,Physical,Under 12,2024-01-01/P1M,4318
E06000056,Physical,Under 12,2024-02-01/P1M,5205
E06000056,Physical,Under 12,2024-03-01/P1M,5152
E06000050,Physical,All ages,2023-04-01/P1M,7518
E06000050,Physical,All ages,2023-05-01/P1M,10216
E06000050,Physical,All ages,2023-06-01/P1M,7162
E06000050,Physical,All ages,2023-07-01/P1M,8548
E06000050,Physical,All ages,2023-08-01/P1M,10867
E06000050,Physical,All ages,2023-09-01/P1M,7135
E06000050,Physical,All ages,2023-10-01/P1M,11026
E06000050,Physical,All ages,2023-11-01/P1M,9259
E06000050,Physical,All ages,2023-12-01/P1M,6667
E06000050,Physical,All ages,2024-01-01/P1M,8592
E06000050,Physical,All ages,2024-02-01/P1M,10953
E06000050,Physical,All ages,2024-03-01/P1M,10467
E06000050,Physical,Adults,2023-04-01/P1M,3749
E06000050,Physical,Adults,2023-05-01/P1M,6485
E06000050,Physical,Adults,2023-06-01/P1M,4006
E06000050,Physical,Adults,2023-07-01/P1M,4449
E06000050,Physical,Adults,2023-08-01/P1M,5006
E06000050,Physical,Adults,2023-09-01/P1M,3926
E06000050,Physical,Adults,2023-10-01/P1M,4781
E06000050,Physical,Adults,2023-11-01/P1M,4715
E06000050,Physical,Adults,2023-12-01/P1M,3217
E06000050,Physical,Adults,2024-01-01/P1M,4778
E06000050,Physical,Adults,2024-02-01/P1M,4710
E06000050,Physical,Adults,2024-03-01/P1M,5059
E06000050,Physical,Under 12,2023-04-01/P1M,3769
E06000050,Physical,Under 12,2023-05-01/P1M,3731
E06000050,Physical,Under 12,2023-06-01/P1M,3156
E06000050,Physical,Under 12,2023-07-01/P1M,4099
